"","site","latitude","longitude","source","annual","jfma","Elevation","CHELSA 1.2","CHELSA 1.2_jfma","CHELSA 2.1","CHELSA 2.1_jfma","CHELSA EarthEnv","CHELSA EarthEnv_jfma","CHPclim","CHPclim_jfma","WorldClim 2.1","WorldClim 2.1_jfma","CHIRPS 2.0","CHIRPS 2.0_jfma","CHELSA-W5E5v1.0","CHELSA-W5E5v1.0_jfma","TerraClimate","TerraClimate_jfma","PBCOR CHELSA 1.2","PBCOR CHELSA 1.2_jfma","PBCOR CHPclim","PBCOR CHPclim_jfma","PBCOR WorldClim 2.1","PBCOR WorldClim 2.1_jfma"
"58","PEDROMIGUEL",9.02277777777778,-79.6172222222222,"CHELSA 2.1",2095.95662975744,149.518096857221,30.48,1923,140,2404.20001602173,167.200000762939,2278.80602455139,160.833185195923,2309.60144233704,143.804201126099,2382,241,2214.57575035095,155.179601669312,2388.73209953308,203.838163375854,3834.89999008179,152.100004196167,1990,142,2309.60144233704,143.804201126099,2382,241
"59","PELUCA",9.38,-79.5611111111111,"CHELSA 2.1",3041.43866666667,386.740666666667,106.68,2619,213,3460.99996948242,286.100006103516,3213.3924331665,290.57527923584,3090.83034896851,262.16622543335,2585,166,3000.01683425903,278.063190460205,2483.62885093689,212.46706199646,4432.90000152588,184.099994659424,2823,225,3196.76957321167,271.602703094482,2427,140
"60","RAICES",9.09194444444445,-79.9877777777778,"CHELSA 2.1",2179.43733333333,238.131333333333,33.528,2512,235,3082.99999237061,327.200004577637,2728.88865661621,285.681533813477,2702.46162033081,243.555675506592,2299,134,2503.27323532104,258.446788787842,2514.44444656372,279.161365509033,3989.40000152588,189.899997711182,2705.72777557373,251.875144958496,3140.45649147034,284.892435073853,2378.67572593689,214.593130111694
"61","SALAMANCA",9.30444444444445,-79.5833333333333,"CHELSA 2.1",2376.95689695617,182.965068241448,79.248,2675,223,3083.50000572205,234.099996566772,2856.41219902039,252.24220085144,2803.75655651093,171.740397453308,2237,181,2724.27859592438,185.14607334137,2359.4085521698,197.148740768433,4046.40004348755,176.60000038147,2437,198,2803.75655651093,171.740397453308,2377,166
"62","SANMIGUEL",9.42,-79.5041666666667,"CHELSA 2.1",4066.05266666667,712.626,519.9888,3464,295,3458.20000457764,305.200004577637,3123.983543396,287.852149963379,3332.73357009888,349.959949493408,2778,353,3204.93243789673,348.709537506104,2530.84956550598,221.745943069458,4933.50000762939,383.000003814697,3491,308,3332.73357009888,349.959949493408,2881,345
"63","SANTAROSA",9.18583333333333,-79.6541666666667,"CHELSA 2.1",2367.43946473008,170.362205473251,27.7368,2309,181,2796.6000213623,213.699996948242,2586.55789756775,226.869344711304,2555.75957584381,134.612053871155,2575,199,2484.26601696014,154.836100578308,2262.82232284546,203.464488983154,4263.89999771118,202.500001907349,2336,189,2555.75957584381,134.612053871155,2443,181
"64","ZANGUENGA",8.96861111111111,-79.8677777777778,"CHELSA 2.1",2066.21012288034,166.519548241694,109.728,2467,218,2550.3000164032,225.100004196167,2392.08831596375,207.008298873901,2485.7560043335,197.637550354004,2254,139,2309.37671852112,202.498819351196,2746.90607833862,293.91654586792,3926.90001678467,159.200000762939,2483,218,2485.7560043335,197.637550354004,2279,159
"65","AGUACLARA",9.36444444444444,-79.7061111111111,"CHELSA EarthEnv",3642.70428571429,365.367142857143,459.9432,3547,298,3836.40001678467,312.099998474121,3525.12391281128,293.28324508667,3625.9369392395,311.74068069458,2792,240,3486.98546600342,327.345603942871,2828.29768753052,251.485233306885,4740.59996414185,234.400003433228,3267,316,3907.87125396729,337.254005432129,2639,156
"66","ALHAJUELA",9.20638888888889,-79.6205555555556,"CHELSA EarthEnv",2309.60029649588,101.209150766782,39.624,2417,183,2600.20000648499,194.60000038147,2417.86947631836,210.496597290039,2610.7406244278,126.412636756897,2572,243,2552.32918262482,145.924550056458,2319.71936416626,200.848712921143,4252.90003967285,170.400001525879,2510,187,2657.43888092041,128.786491394043,2690,261
"67","BALBOAFAA",8.96888888888889,-79.5494444444444,"CHELSA EarthEnv",1961.04857142857,142.274285714286,10.0584,1952,135,2217.50002765656,138.499997138977,2147.01097011566,144.695219993591,1537.71510791779,100.367588996887,2158,157,1498.9702835083,107.984016418457,2241.04879379272,180.159374237061,3403.50002670288,146.599996566772,2089.06449317932,144.276254653931,1984.08880329132,131.068600654602,2234,217
