"","site","Month","mon_mean","temporal","dataset_name","long_dd","lat_dd","CHELSA1.2","CHELSA2.1","CHELSA_EarthEnv","CHPclim","WorldClim2.1","CHIRPS2.0","CHELSAW5E5v1.0","TerraClimate","PBCOR_CHELSA1.2","PBCOR_CHPclim","PBCOR_WorldClim2.1"
"1088","AGUACLARA",8,405.511,"1970-2000","PBCOR WorldClim 2.1",-79.70638,9.362686,403,441.799987792969,382.502838134766,389.186859130859,293,386.075561523438,318.845336914062,272.5,354,419.207611083984,403
"1089","AGUACLARA",9,379.9332,"1970-2000","PBCOR WorldClim 2.1",-79.70638,9.362686,366,416.600006103516,399.710723876953,310.808349609375,342,327.83056640625,320.597961425781,283,307,334.709075927734,257
"1090","AGUACLARA",10,513.653548387097,"1970-2000","PBCOR WorldClim 2.1",-79.70638,9.362686,477,510,437.311431884766,405.012268066406,382,408.264739990234,384.037017822266,384.299987792969,417,435.933410644531,367
"1091","AGUACLARA",11,525.370322580645,"1970-2000","PBCOR WorldClim 2.1",-79.70638,9.362686,566,634.700012207031,587.464965820312,606.134399414062,405,567.562194824219,406.444763183594,476,570,653.01123046875,389
"1092","AGUACLARA",12,296.278709677419,"1970-2000","PBCOR WorldClim 2.1",-79.70638,9.362686,306,303.799987792969,275.338562011719,406.017517089844,190,361.466247558594,217.31965637207,234.899993896484,313,438.100494384766,273
"1093","BCI",1,83.0738709677419,"1970-2000","PBCOR WorldClim 2.1",-79.836377,9.164701,78,74.5,30.4869232177734,79.7190399169922,55,64.4785614013672,68.5206146240234,43.5,60,79.7190399169922,26
"1094","BCI",2,31.7196774193548,"1970-2000","PBCOR WorldClim 2.1",-79.836377,9.164701,42,31,22.8507690429688,29.4163265228271,11,24.7792415618896,38.4234390258789,24.5,32,29.4163265228271,26
"1095","BCI",3,34.4866451612903,"1970-2000","PBCOR WorldClim 2.1",-79.836377,9.164701,36,42.2000007629395,22.9342861175537,27.0864639282227,31,28.0724296569824,38.3760681152344,17.7999992370605,28,27.0864639282227,14
"1096","BCI",4,103.500774193548,"1970-2000","PBCOR WorldClim 2.1",-79.836377,9.164701,113,129.5,134.369293212891,75.5584869384766,163,108.158966064453,123.951835632324,111.900001525879,87,75.5584869384766,87
"1097","BCI",5,286.634838709677,"1970-2000","PBCOR WorldClim 2.1",-79.836377,9.164701,337,342.600006103516,326.420715332031,308.4140625,315,285.398101806641,285.990264892578,337.700012207031,264,308.4140625,289
"1098","BCI",6,277.089032258064,"1970-2000","PBCOR WorldClim 2.1",-79.836377,9.164701,317,319.299987792969,282.152130126953,289.219543457031,277,263.469390869141,276.382446289062,282.200012207031,256,289.219543457031,300
"1099","BCI",7,252.483870967742,"1970-2000","PBCOR WorldClim 2.1",-79.836377,9.164701,339,337.899993896484,281.604278564453,297.026245117188,350,268.172973632812,284.379760742188,304.200012207031,267,297.026245117188,256
"1100","BCI",8,301.8,"1970-2000","PBCOR WorldClim 2.1",-79.836377,9.164701,340,350.399993896484,298.880706787109,299.639373779297,248,290.709838867188,285.995544433594,282.299987792969,273,299.639373779297,312
"1101","BCI",9,275.671935483871,"1970-2000","PBCOR WorldClim 2.1",-79.836377,9.164701,316,335.299987792969,305.834991455078,250.891052246094,269,268.266418457031,281.356109619141,227.699996948242,259,250.891052246094,268
"1102","BCI",10,350.691935483871,"1970-2000","PBCOR WorldClim 2.1",-79.836377,9.164701,400,392.600006103516,327.820007324219,370.953125,426,368.760101318359,335.855743408203,395.799987792969,335,370.953125,392
"1103","BCI",11,345.16935483871,"1970-2000","PBCOR WorldClim 2.1",-79.836377,9.164701,496,505,429.976440429688,480.063537597656,323,441.416412353516,381.110717773438,291.700012207031,397,480.063537597656,428
"1104","BCI",12,203.126129032258,"1970-2000","PBCOR WorldClim 2.1",-79.836377,9.164701,271,250.100006103516,194.077850341797,278.331848144531,116,236.014678955078,219.509124755859,78.1999969482422,210,278.331848144531,210
"1105","BCICLEAR",1,74.3965161290323,"1970-2000","PBCOR WorldClim 2.1",-79.838233,9.163114,78,74.5,30.4869232177734,79.7190399169922,55,64.4785614013672,68.5206146240234,43.5,60,79.7190399169922,26
"1106","BCICLEAR",2,30.5438064516129,"1970-2000","PBCOR WorldClim 2.1",-79.838233,9.163114,42,31,22.8507690429688,29.4163265228271,11,24.7792415618896,38.4234390258789,24.5,32,29.4163265228271,26
"1107","BCICLEAR",3,32.2631612903226,"1970-2000","PBCOR WorldClim 2.1",-79.838233,9.163114,36,42.2000007629395,22.9342861175537,27.0864639282227,31,28.0724296569824,38.3760681152344,17.7999992370605,28,27.0864639282227,14
"1108","BCICLEAR",4,99.5499677419355,"1970-2000","PBCOR WorldClim 2.1",-79.838233,9.163114,113,129.5,134.369293212891,75.5584869384766,163,108.158966064453,123.951835632324,111.900001525879,87,75.5584869384766,87
"1109","BCICLEAR",5,261.326612903226,"1970-2000","PBCOR WorldClim 2.1",-79.838233,9.163114,337,342.600006103516,326.420715332031,308.4140625,315,285.398101806641,285.990264892578,337.700012207031,264,308.4140625,289
"1110","BCICLEAR",6,243.727612903226,"1970-2000","PBCOR WorldClim 2.1",-79.838233,9.163114,317,319.299987792969,282.152130126953,289.219543457031,277,263.469390869141,276.382446289062,282.200012207031,256,289.219543457031,300
"1111","BCICLEAR",7,224.011,"1970-2000","PBCOR WorldClim 2.1",-79.838233,9.163114,339,337.899993896484,281.604278564453,297.026245117188,350,268.172973632812,284.379760742188,304.200012207031,267,297.026245117188,256
